width,params,repeat,epoch,train_loss,train_acc,test_loss,test_acc
1,774,1,131,1.991003,0.297800,1.864139,0.319300
1,774,1,132,1.997300,0.288100,1.882745,0.323400
1,774,1,133,1.985848,0.289700,1.866011,0.323300
1,774,1,134,1.984079,0.295800,1.862331,0.321400
1,774,1,135,1.988488,0.292800,1.875756,0.313200
1,774,1,136,1.990713,0.290700,1.863095,0.322300
1,774,1,137,1.980975,0.299700,1.863864,0.321000
1,774,1,138,1.978465,0.299600,1.867002,0.318100
1,774,1,139,1.976981,0.297000,1.859824,0.322300
1,774,1,140,1.983836,0.286300,1.862409,0.327900
1,774,1,141,1.983637,0.293400,1.862930,0.325600
1,774,1,142,1.983250,0.298300,1.858039,0.323100
1,774,1,143,1.977843,0.296600,1.865418,0.316500
1,774,1,144,1.976862,0.299200,1.856607,0.327600
1,774,1,145,1.981809,0.287900,1.866923,0.317600
1,774,1,146,1.975981,0.300600,1.860045,0.318600
1,774,1,147,1.985867,0.293100,1.874225,0.315600
1,774,1,148,1.978794,0.300100,1.862134,0.318900
1,774,1,149,1.978642,0.293500,1.865862,0.326300
1,774,1,150,1.978536,0.295200,1.856449,0.322100
1,774,1,151,1.976162,0.294400,1.864951,0.324500
1,774,1,152,1.973070,0.295000,1.865309,0.325300
1,774,1,153,1.977539,0.294600,1.858524,0.325200
1,774,1,154,1.975292,0.300100,1.863516,0.319000
1,774,1,155,1.970897,0.295200,1.870390,0.318200
1,774,1,156,1.971970,0.298900,1.864177,0.320400
1,774,1,157,1.967385,0.305400,1.859240,0.323400
1,774,1,158,1.973192,0.303800,1.857829,0.321800
1,774,1,159,1.967432,0.302100,1.863470,0.316700
1,774,1,160,1.969836,0.299500,1.856992,0.321100
1,774,1,161,1.972793,0.297000,1.857844,0.321200
1,774,1,162,1.967763,0.301600,1.857254,0.321600
1,774,1,163,1.966220,0.300000,1.856227,0.322000
1,774,1,164,1.965916,0.303800,1.857046,0.318800
1,774,1,165,1.966294,0.304300,1.859604,0.323800
1,774,1,166,1.964645,0.305300,1.861052,0.319300
1,774,1,167,1.964054,0.302400,1.858144,0.321500
1,774,1,168,1.963638,0.304900,1.860671,0.326600
1,774,1,169,1.962038,0.304600,1.857755,0.321200
1,774,1,170,1.961776,0.308100,1.857615,0.320600
1,774,1,171,1.961639,0.306400,1.853914,0.322200
1,774,1,172,1.961871,0.306100,1.861502,0.320000
1,774,1,173,1.962818,0.301400,1.860921,0.320700
1,774,1,174,1.960794,0.305700,1.857413,0.321600
1,774,1,175,1.959587,0.308100,1.855612,0.321500
1,774,1,176,1.959780,0.305800,1.856734,0.320800
1,774,1,177,1.958653,0.305600,1.857294,0.318700
1,774,1,178,1.959271,0.307800,1.860409,0.320200
1,774,1,179,1.960119,0.306000,1.856357,0.320000
1,774,1,180,1.957600,0.308100,1.856483,0.319200
1,774,1,181,1.957453,0.305800,1.855192,0.323200
1,774,1,182,1.957141,0.307300,1.856529,0.320600
1,774,1,183,1.957049,0.308300,1.856103,0.320000
1,774,1,184,1.957155,0.306600,1.856713,0.319600
1,774,1,185,1.956625,0.308700,1.856539,0.320800
1,774,1,186,1.955702,0.308700,1.856351,0.319800
1,774,1,187,1.956045,0.308200,1.855081,0.321800
1,774,1,188,1.955615,0.308900,1.855894,0.320400
1,774,1,189,1.955490,0.308200,1.856172,0.321000
1,774,1,190,1.955194,0.308000,1.855772,0.321300
1,774,1,191,1.955147,0.307800,1.855779,0.321300
1,774,1,192,1.954692,0.308900,1.855874,0.319900
1,774,1,193,1.954738,0.307800,1.856081,0.319800
1,774,1,194,1.954622,0.308500,1.856140,0.320200
1,774,1,195,1.954442,0.308400,1.856113,0.319800
1,774,1,196,1.954344,0.307700,1.856154,0.320400
1,774,1,197,1.954260,0.308000,1.856171,0.320500
1,774,1,198,1.954198,0.307900,1.856152,0.320200
1,774,1,199,1.954161,0.307900,1.856157,0.320300
1,774,1,200,1.954129,0.307900,1.856151,0.320300
1,774,2,1,2.267355,0.139900,2.202164,0.180100
1,774,2,2,2.147160,0.214500,1.959977,0.287900
1,774,2,3,2.073795,0.255100,1.990052,0.240200
1,774,2,4,2.077833,0.247300,1.972001,0.272500
1,774,2,5,2.075243,0.247300,1.951544,0.278000
1,774,2,6,2.085004,0.246200,1.960008,0.284500
1,774,2,7,2.101693,0.236100,1.920078,0.284100
1,774,2,8,2.048925,0.261500,1.930760,0.287300
1,774,2,9,2.076241,0.249100,1.954355,0.290900
1,774,2,10,2.070473,0.251900,1.928462,0.297300
1,774,2,11,2.073746,0.248900,1.918049,0.290400
1,774,2,12,2.051807,0.253900,1.908117,0.297000
1,774,2,13,2.044534,0.261700,1.936781,0.285200
1,774,2,14,2.061118,0.250500,1.935753,0.284800
1,774,2,15,2.059106,0.249700,1.953285,0.288200
1,774,2,16,2.054410,0.252400,1.923030,0.289900
1,774,2,17,2.042475,0.258800,1.893768,0.295000
1,774,2,18,2.031045,0.266400,2.028411,0.249600
1,774,2,19,2.053377,0.256500,1.913277,0.302200
1,774,2,20,2.040105,0.256500,1.965929,0.274900
1,774,2,21,2.034464,0.259000,1.905560,0.304500
1,774,2,22,2.037578,0.261200,1.898943,0.320300
1,774,2,23,2.039884,0.264700,1.981243,0.285900
1,774,2,24,2.027398,0.268300,1.905828,0.299800
1,774,2,25,2.030450,0.274400,1.920334,0.301800
1,774,2,26,2.029203,0.266500,1.923231,0.303800
1,774,2,27,2.037308,0.266400,1.927998,0.306800
1,774,2,28,2.036657,0.266900,1.905743,0.302600
1,774,2,29,2.034027,0.261800,1.908622,0.278500
1,774,2,30,2.042872,0.260100,1.919135,0.282600
1,774,2,31,2.039761,0.255800,1.899985,0.305100
1,774,2,32,2.033589,0.265600,1.887200,0.301100
1,774,2,33,2.037148,0.264600,1.991209,0.272200
1,774,2,34,2.045116,0.264400,1.918182,0.307800
1,774,2,35,2.024513,0.270100,1.926803,0.309500
1,774,2,36,2.018064,0.276200,1.882380,0.315300
1,774,2,37,2.021389,0.274800,1.906839,0.308600
1,774,2,38,2.021808,0.272900,1.919035,0.308000
1,774,2,39,2.025698,0.278100,1.887108,0.312300
1,774,2,40,2.023445,0.268100,1.916249,0.288700
1,774,2,41,2.031276,0.269000,1.896399,0.302000
1,774,2,42,2.050935,0.257900,1.927681,0.307500
1,774,2,43,2.022705,0.276700,1.913691,0.302100
